Venue,Date,Team_A,Team_B,Team_A_Ranking,Team_B_Ranking,Winner,Team_A_Score,Team_A_Wickets_Lost,Team_B_Score,Team_B_Wickets_Lost,Is_Home_Team_A,Is_Home_Team_B,Toss_Winner,Toss_Decision
Providence Stadium,2021-08-03,West Indies,Pakistan,6,7,,30,0,0,0,1,0,Pakistan,field
Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka,2,8,Australia,149,9,122,8,0,0,Sri Lanka,field
Sydney Cricket Ground,2022-02-13,Australia,Sri Lanka,2,8,,173,6,169,9,0,0,Sri Lanka,field
Manuka Oval,2022-02-15,Sri Lanka,Australia,8,2,Australia,121,6,124,4,0,0,Australia,field
Melbourne Cricket Ground,2022-02-18,Sri Lanka,Australia,8,2,Australia,139,8,143,4,0,0,Australia,field
Melbourne Cricket Ground,2022-02-20,Australia,Sri Lanka,2,8,Sri Lanka,154,6,155,5,0,0,Australia,bat
Shere Bangla National Stadium,2021-08-03,Bangladesh,Australia,9,2,Bangladesh,131,7,108,10,0,0,Australia,field
Shere Bangla National Stadium,2021-08-04,Australia,Bangladesh,2,9,Bangladesh,121,7,123,5,0,0,Australia,bat
Shere Bangla National Stadium,2021-08-06,Bangladesh,Australia,9,2,Bangladesh,127,9,117,4,0,0,Bangladesh,bat
Shere Bangla National Stadium,2021-08-07,Bangladesh,Australia,9,2,Australia,104,9,105,7,0,0,Bangladesh,bat
Shere Bangla National Stadium,2021-08-09,Bangladesh,Australia,9,2,Bangladesh,122,8,62,10,0,0,Bangladesh,bat
R Premadasa Stadium,2021-09-10,South Africa,Sri Lanka,4,8,South Africa,163,5,135,6,0,0,South Africa,bat
R Premadasa Stadium,2021-09-12,Sri Lanka,South Africa,8,4,South Africa,103,10,105,1,0,0,Sri Lanka,bat
R Premadasa Stadium,2021-09-14,Sri Lanka,South Africa,8,4,South Africa,120,8,121,0,0,0,Sri Lanka,bat
Shere Bangla National Stadium,2021-09-01,New Zealand,Bangladesh,5,9,Bangladesh,60,10,62,3,0,0,New Zealand,bat
Shere Bangla National Stadium,2021-09-03,Bangladesh,New Zealand,9,5,Bangladesh,141,6,137,5,0,0,Bangladesh,bat
Shere Bangla National Stadium,2021-09-05,New Zealand,Bangladesh,5,9,New Zealand,128,5,76,10,0,0,New Zealand,bat
Shere Bangla National Stadium,2021-09-08,New Zealand,Bangladesh,5,9,Bangladesh,93,10,96,4,0,0,New Zealand,bat
Shere Bangla National Stadium,2021-09-10,New Zealand,Bangladesh,5,9,New Zealand,161,5,134,8,0,0,New Zealand,bat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-10-17,Papua New Guinea,Oman,20,18,Oman,129,9,131,0,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-10-17,Scotland,Bangladesh,13,9,Scotland,140,9,134,7,0,0,Bangladesh,field
Zayed Cricket Stadium,2021-10-18,Netherlands,Ireland,15,11,Ireland,106,10,107,3,0,0,Netherlands,bat
Zayed Cricket Stadium,2021-10-18,Namibia,Sri Lanka,14,8,Sri Lanka,96,10,100,3,0,0,Sri Lanka,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-10-19,Scotland,Papua New Guinea,13,20,Scotland,165,9,148,10,0,0,Scotland,bat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-10-19,Bangladesh,Oman,9,18,Bangladesh,153,10,127,9,0,0,Bangladesh,bat
Zayed Cricket Stadium,2021-10-20,Netherlands,Namibia,15,14,Namibia,164,4,166,4,0,0,Namibia,field
Zayed Cricket Stadium,2021-10-20,Sri Lanka,Ireland,8,11,Sri Lanka,171,7,101,10,0,0,Ireland,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-10-21,Bangladesh,Papua New Guinea,9,20,Bangladesh,181,7,97,10,0,0,Bangladesh,bat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-10-21,Oman,Scotland,18,13,Scotland,122,10,123,2,0,0,Oman,bat
Sharjah Cricket Stadium,2021-10-22,Ireland,Namibia,11,14,Namibia,125,8,126,2,0,0,Ireland,bat
Sharjah Cricket Stadium,2021-10-22,Netherlands,Sri Lanka,15,8,Sri Lanka,44,10,45,2,0,0,Sri Lanka,field
Zayed Cricket Stadium,2021-10-23,South Africa,Australia,4,2,Australia,118,9,121,5,0,0,Australia,field
Dubai International Cricket Stadium,2021-10-23,West Indies,England,6,3,England,55,10,56,4,1,0,England,field
Sharjah Cricket Stadium,2021-10-24,Bangladesh,Sri Lanka,9,8,Sri Lanka,171,4,172,5,0,0,Sri Lanka,field
Dubai International Cricket Stadium,2021-10-24,India,Pakistan,1,7,Pakistan,151,7,152,0,0,0,Pakistan,field
Sharjah Cricket Stadium,2021-10-25,Afghanistan,Scotland,10,13,Afghanistan,190,4,60,10,0,0,Afghanistan,bat
Dubai International Cricket Stadium,2021-10-26,West Indies,South Africa,6,4,South Africa,143,8,144,2,1,0,South Africa,field
Sharjah Cricket Stadium,2021-10-26,New Zealand,Pakistan,5,7,Pakistan,134,8,135,5,0,0,Pakistan,field
Zayed Cricket Stadium,2021-10-27,Bangladesh,England,9,3,England,124,9,126,2,0,0,Bangladesh,bat
Zayed Cricket Stadium,2021-10-27,Scotland,Namibia,13,14,Namibia,109,8,115,6,0,0,Namibia,field
Dubai International Cricket Stadium,2021-10-28,Sri Lanka,Australia,8,2,Australia,154,6,155,3,0,0,Australia,field
Sharjah Cricket Stadium,2021-10-29,West Indies,Bangladesh,6,9,West Indies,142,7,139,5,1,0,Bangladesh,field
Dubai International Cricket Stadium,2021-10-29,Afghanistan,Pakistan,10,7,Pakistan,147,6,148,5,0,0,Afghanistan,bat
Sharjah Cricket Stadium,2021-10-30,Sri Lanka,South Africa,8,4,South Africa,142,10,146,6,0,0,South Africa,field
Dubai International Cricket Stadium,2021-10-30,Australia,England,2,3,England,125,10,126,2,0,0,England,field
Zayed Cricket Stadium,2021-10-31,Afghanistan,Namibia,10,14,Afghanistan,160,5,98,9,0,0,Afghanistan,bat
Dubai International Cricket Stadium,2021-10-31,India,New Zealand,1,5,New Zealand,110,7,111,2,0,0,New Zealand,field
Sharjah Cricket Stadium,2021-11-01,England,Sri Lanka,3,8,England,163,4,137,10,0,0,Sri Lanka,field
Zayed Cricket Stadium,2021-11-02,Bangladesh,South Africa,9,4,South Africa,84,10,86,4,0,0,South Africa,field
Zayed Cricket Stadium,2021-11-02,Pakistan,Namibia,7,14,Pakistan,189,2,144,5,0,0,Pakistan,bat
Dubai International Cricket Stadium,2021-11-03,New Zealand,Scotland,5,13,New Zealand,172,5,156,5,0,0,Scotland,field
Zayed Cricket Stadium,2021-11-03,India,Afghanistan,1,10,India,210,2,144,7,0,0,Afghanistan,field
Dubai International Cricket Stadium,2021-11-04,Bangladesh,Australia,9,2,Australia,73,10,78,2,0,0,Australia,field
Zayed Cricket Stadium,2021-11-04,Sri Lanka,West Indies,8,6,Sri Lanka,189,3,169,8,0,1,West Indies,field
Sharjah Cricket Stadium,2021-11-05,New Zealand,Namibia,5,14,New Zealand,163,4,111,7,0,0,Namibia,field
Dubai International Cricket Stadium,2021-11-05,Scotland,India,13,1,India,85,10,89,2,0,0,India,field
Zayed Cricket Stadium,2021-11-06,West Indies,Australia,6,2,Australia,157,7,161,2,1,0,Australia,field
Sharjah Cricket Stadium,2021-11-06,South Africa,England,4,3,South Africa,189,2,179,9,0,0,England,field
Zayed Cricket Stadium,2021-11-07,Afghanistan,New Zealand,10,5,New Zealand,124,8,125,2,0,0,Afghanistan,bat
Sharjah Cricket Stadium,2021-11-07,Pakistan,Scotland,7,13,Pakistan,189,4,117,6,0,0,Pakistan,bat
Dubai International Cricket Stadium,2021-11-08,Namibia,India,14,1,India,132,8,136,1,0,0,India,field
Zayed Cricket Stadium,2021-11-10,England,New Zealand,3,5,New Zealand,166,4,167,5,0,0,New Zealand,field
Dubai International Cricket Stadium,2021-11-11,Pakistan,Australia,7,2,Australia,176,4,177,5,0,0,Australia,field
Dubai International Cricket Stadium,2021-11-14,New Zealand,Australia,5,2,Australia,172,4,173,2,0,0,Australia,field
The Rose Bowl,2022-07-07,India,England,1,3,India,198,8,148,10,0,0,India,bat
Edgbaston,2022-07-09,India,England,1,3,India,170,8,121,10,0,0,England,field
Trent Bridge,2022-07-10,England,India,3,1,England,215,7,198,9,0,0,England,bat
County Ground,2022-07-27,England,South Africa,3,4,England,234,6,193,8,0,0,South Africa,field
Sophia Gardens,2022-07-28,South Africa,England,4,3,South Africa,207,3,149,10,0,0,England,field
The Rose Bowl,2022-07-31,South Africa,England,4,3,South Africa,191,5,101,10,0,0,England,field
Shere Bangla National Stadium,2021-11-19,Bangladesh,Pakistan,9,7,Pakistan,127,7,132,6,0,0,Bangladesh,bat
Shere Bangla National Stadium,2021-11-20,Bangladesh,Pakistan,9,7,Pakistan,108,7,109,2,0,0,Bangladesh,bat
Shere Bangla National Stadium,2021-11-22,Bangladesh,Pakistan,9,7,Pakistan,124,7,127,5,0,0,Bangladesh,bat
Sawai Mansingh Stadium,2021-11-17,New Zealand,India,5,1,India,164,6,166,5,0,0,India,field
JSCA International Stadium Complex,2021-11-19,New Zealand,India,5,1,India,153,6,155,3,0,0,India,field
Eden Gardens,2021-11-21,India,New Zealand,1,5,India,184,7,111,10,0,0,India,bat
Eden Gardens,2022-02-16,West Indies,India,6,1,India,157,7,162,4,1,0,India,field
Eden Gardens,2022-02-18,India,West Indies,1,6,India,186,5,178,3,0,1,West Indies,field
Eden Gardens,2022-02-20,India,West Indies,1,6,India,184,5,167,9,0,1,West Indies,field
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2022-02-24,India,Sri Lanka,1,8,India,199,2,137,6,0,0,Sri Lanka,field
Himachal Pradesh Cricket Association Stadium,2022-02-26,Sri Lanka,India,8,1,India,183,5,186,3,0,0,India,field
Himachal Pradesh Cricket Association Stadium,2022-02-27,Sri Lanka,India,8,1,India,146,5,148,4,0,0,Sri Lanka,bat
Arun Jaitley Stadium,2022-06-09,India,South Africa,1,4,South Africa,211,4,212,3,0,0,South Africa,field
Barabati Stadium,2022-06-12,India,South Africa,1,4,South Africa,148,6,149,6,0,0,South Africa,field
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2022-06-14,India,South Africa,1,4,India,179,5,131,10,0,0,South Africa,field
Saurashtra Cricket Association Stadium,2022-06-17,India,South Africa,1,4,India,169,6,87,10,0,0,South Africa,field
M Chinnaswamy Stadium,2022-06-19,India,South Africa,1,4,,28,2,0,0,0,0,South Africa,field
ICC Academy,2021-10-09,Scotland,Namibia,13,14,Namibia,137,8,138,5,0,0,Namibia,field
ICC Academy,2021-10-10,Namibia,Papua New Guinea,14,20,Namibia,174,6,160,6,0,0,Papua New Guinea,field
ICC Academy,2021-10-08,Papua New Guinea,Scotland,20,13,Scotland,154,5,156,3,0,0,Papua New Guinea,bat
Coolidge Cricket Ground,2021-11-10,Canada,United States of America,23,19,,156,5,164,9,0,1,Canada,bat
National Stadium,2021-12-13,Pakistan,West Indies,7,6,Pakistan,200,6,137,10,0,1,West Indies,field
National Stadium,2021-12-14,Pakistan,West Indies,7,6,Pakistan,172,8,163,10,0,1,Pakistan,bat
National Stadium,2021-12-16,West Indies,Pakistan,6,7,Pakistan,207,3,208,3,1,0,West Indies,bat
Gaddafi Stadium,2022-04-05,Pakistan,Australia,7,2,Australia,162,8,163,7,0,0,Australia,field
Central Broward Regional Park Stadium Turf Ground,2021-12-22,United States of America,Ireland,19,11,United States of America,188,6,162,6,1,0,United States of America,bat
Central Broward Regional Park Stadium Turf Ground,2021-12-23,Ireland,United States of America,11,19,Ireland,150,10,141,7,0,1,United States of America,field
GMHBA Stadium,2022-10-16,Namibia,Sri Lanka,14,8,Namibia,163,7,108,10,0,0,Sri Lanka,field
Bellerive Oval,2022-10-17,Scotland,West Indies,13,6,Scotland,160,5,118,10,0,1,West Indies,field
GMHBA Stadium,2022-10-18,Namibia,Netherlands,14,15,Netherlands,121,6,122,5,0,0,Namibia,bat
Bellerive Oval,2022-10-19,Scotland,Ireland,13,11,Ireland,176,5,180,4,0,0,Scotland,bat
GMHBA Stadium,2022-10-20,Sri Lanka,Netherlands,8,15,Sri Lanka,162,6,146,9,0,0,Sri Lanka,bat
Bellerive Oval,2022-10-21,West Indies,Ireland,6,11,Ireland,146,5,150,1,1,0,West Indies,bat
Sydney Cricket Ground,2022-10-22,New Zealand,Australia,5,2,New Zealand,200,3,111,10,0,0,Australia,field
Perth Stadium,2022-10-22,Afghanistan,England,10,3,England,112,10,113,5,0,0,England,field
Bellerive Oval,2022-10-23,Ireland,Sri Lanka,11,8,Sri Lanka,128,8,133,1,0,0,Ireland,bat
Melbourne Cricket Ground,2022-10-23,Pakistan,India,7,1,India,159,8,160,6,0,0,India,field
Bellerive Oval,2022-10-24,Bangladesh,Netherlands,9,15,Bangladesh,144,8,135,10,0,0,Netherlands,field
Perth Stadium,2022-10-25,Sri Lanka,Australia,8,2,Australia,157,6,158,3,0,0,Australia,field
Melbourne Cricket Ground,2022-10-26,Ireland,England,11,3,Ireland,157,10,105,5,0,0,England,field
Sydney Cricket Ground,2022-10-27,South Africa,Bangladesh,4,9,South Africa,205,5,101,10,0,0,South Africa,bat
Sydney Cricket Ground,2022-10-27,India,Netherlands,1,15,India,179,2,123,9,0,0,India,bat
Sydney Cricket Ground,2022-10-29,New Zealand,Sri Lanka,5,8,New Zealand,167,7,102,10,0,0,New Zealand,bat
Perth Stadium,2022-10-30,Netherlands,Pakistan,15,7,Pakistan,91,10,95,4,0,0,Netherlands,bat
Perth Stadium,2022-10-30,India,South Africa,1,4,South Africa,133,9,137,5,0,0,India,bat
Brisbane Cricket Ground,2022-10-31,Australia,Ireland,2,11,Australia,179,5,137,10,0,0,Ireland,field
Brisbane Cricket Ground,2022-11-01,Afghanistan,Sri Lanka,10,8,Sri Lanka,144,8,148,4,0,0,Afghanistan,bat
Brisbane Cricket Ground,2022-11-01,England,New Zealand,3,5,England,179,6,159,6,0,0,England,bat
Adelaide Oval,2022-11-02,India,Bangladesh,1,9,India,184,6,145,6,0,0,Bangladesh,field
Sydney Cricket Ground,2022-11-03,Pakistan,South Africa,7,4,Pakistan,185,9,108,9,0,0,Pakistan,bat
Adelaide Oval,2022-11-04,New Zealand,Ireland,5,11,New Zealand,185,6,150,9,0,0,Ireland,field
Adelaide Oval,2022-11-04,Australia,Afghanistan,2,10,Australia,168,8,164,7,0,0,Afghanistan,field
Sydney Cricket Ground,2022-11-05,Sri Lanka,England,8,3,England,141,8,144,6,0,0,Sri Lanka,bat
Adelaide Oval,2022-11-06,Netherlands,South Africa,15,4,Netherlands,158,4,145,8,0,0,South Africa,field
Adelaide Oval,2022-11-06,Bangladesh,Pakistan,9,7,Pakistan,127,8,128,5,0,0,Bangladesh,bat
Sydney Cricket Ground,2022-11-09,New Zealand,Pakistan,5,7,Pakistan,152,4,153,3,0,0,New Zealand,bat
Adelaide Oval,2022-11-10,India,England,1,3,England,168,6,170,0,0,0,England,field
Melbourne Cricket Ground,2022-11-13,Pakistan,England,7,3,England,137,8,138,5,0,0,England,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-18,Nepal,Oman,17,18,Nepal,117,8,78,10,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-19,Canada,Oman,23,18,Oman,155,6,159,1,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-21,Canada,Nepal,23,17,Nepal,80,10,81,2,0,0,Canada,bat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2022-02-22,Ireland,Oman,11,18,Ireland,165,7,109,10,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2022-02-24,Oman,Nepal,18,17,Nepal,87,9,90,1,0,0,Oman,bat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-11,Oman,Nepal,18,17,Nepal,135,6,137,4,0,0,Nepal,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-12,Oman,Ireland,18,11,Ireland,137,10,140,1,0,0,Ireland,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-14,Ireland,Nepal,11,17,Ireland,127,10,111,9,0,0,Nepal,field
Shere Bangla National Stadium,2022-03-03,Bangladesh,Afghanistan,9,10,Bangladesh,155,8,94,10,0,0,Bangladesh,bat
Shere Bangla National Stadium,2022-03-05,Bangladesh,Afghanistan,9,10,Afghanistan,115,9,121,2,0,0,Bangladesh,bat
The Village,2022-06-26,Ireland,India,11,1,India,108,4,111,3,0,0,India,field
The Village,2022-06-28,India,Ireland,1,11,India,225,7,221,5,0,0,India,bat
Civil Service Cricket Club,2022-07-18,New Zealand,Ireland,5,11,New Zealand,173,8,142,10,0,0,Ireland,field
Civil Service Cricket Club,2022-07-20,New Zealand,Ireland,5,11,New Zealand,179,4,91,10,0,0,Ireland,field
Civil Service Cricket Club,2022-07-22,Ireland,New Zealand,11,5,New Zealand,174,6,180,4,0,0,Ireland,bat
County Ground,2022-08-03,South Africa,Ireland,4,11,South Africa,211,5,190,9,0,0,South Africa,bat
County Ground,2022-08-05,South Africa,Ireland,4,11,South Africa,182,6,138,10,0,0,Ireland,field
Tribhuvan University International Cricket Ground,2022-03-28,Nepal,Papua New Guinea,17,20,Nepal,183,9,168,10,0,0,Papua New Guinea,field
Tribhuvan University International Cricket Ground,2022-03-31,Nepal,Papua New Guinea,17,20,Nepal,203,7,166,10,0,0,Papua New Guinea,field
Tribhuvan University International Cricket Ground,2022-04-04,Nepal,Papua New Guinea,17,20,Nepal,168,6,118,10,0,0,Papua New Guinea,field
Civil Service Cricket Club,2022-08-09,Afghanistan,Ireland,10,11,Ireland,168,7,171,3,0,0,Afghanistan,bat
Civil Service Cricket Club,2022-08-11,Afghanistan,Ireland,10,11,Ireland,122,8,125,5,0,0,Afghanistan,bat
Civil Service Cricket Club,2022-08-12,Afghanistan,Ireland,10,11,Afghanistan,189,5,167,9,0,0,Ireland,field
Civil Service Cricket Club,2022-08-15,Afghanistan,Ireland,10,11,Afghanistan,132,6,105,10,0,0,Ireland,field
Civil Service Cricket Club,2022-08-17,Afghanistan,Ireland,10,11,Ireland,95,5,56,3,0,0,Ireland,field
R Premadasa Stadium,2022-06-07,Sri Lanka,Australia,8,2,Australia,128,10,134,0,0,0,Australia,field
R Premadasa Stadium,2022-06-08,Sri Lanka,Australia,8,2,Australia,124,9,126,7,0,0,Australia,field
Pallekele International Cricket Stadium,2022-06-11,Australia,Sri Lanka,2,8,Sri Lanka,176,5,177,6,0,0,Australia,bat
Grange Cricket Club Ground,2022-07-27,New Zealand,Scotland,5,13,New Zealand,225,5,157,8,0,0,Scotland,field
Grange Cricket Club Ground,2022-07-29,New Zealand,Scotland,5,13,New Zealand,254,5,152,9,0,0,New Zealand,bat
United Cricket Club Ground,2022-04-08,Uganda,Namibia,22,14,Namibia,127,5,128,2,0,0,Namibia,field
United Cricket Club Ground,2022-04-09,Namibia,Uganda,14,22,Uganda,177,4,178,3,0,0,Uganda,field
United Cricket Club Ground,2022-04-10,Namibia,Uganda,14,22,Namibia,185,7,133,10,0,0,Uganda,field
Sportpark Westvliet,2022-08-04,New Zealand,Netherlands,5,15,New Zealand,148,7,132,10,0,0,New Zealand,bat
Sportpark Westvliet,2022-08-05,Netherlands,New Zealand,15,5,New Zealand,147,4,149,2,0,0,Netherlands,bat
Windsor Park,2022-07-02,Bangladesh,West Indies,9,6,,105,8,0,0,0,1,West Indies,field
Windsor Park,2022-07-03,West Indies,Bangladesh,6,9,West Indies,193,5,158,6,1,0,West Indies,bat
Providence Stadium,2022-07-07,Bangladesh,West Indies,9,6,West Indies,163,5,169,5,0,1,Bangladesh,bat
Carrara Oval,2022-10-05,West Indies,Australia,6,2,Australia,145,9,146,7,1,0,Australia,field
Brisbane Cricket Ground,2022-10-07,Australia,West Indies,2,6,Australia,178,7,147,8,0,1,West Indies,field
Perth Stadium,2022-10-09,England,Australia,3,2,England,208,6,200,9,0,0,Australia,field
Manuka Oval,2022-10-12,England,Australia,3,2,England,178,7,170,6,0,0,Australia,field
Manuka Oval,2022-10-14,England,Australia,3,2,,112,2,30,3,0,0,Australia,field
Brian Lara Stadium,2022-07-29,India,West Indies,1,6,India,190,6,122,8,0,1,West Indies,field
Warner Park,2022-08-01,India,West Indies,1,6,West Indies,138,10,141,5,0,1,West Indies,field
Warner Park,2022-08-02,West Indies,India,6,1,India,164,5,165,4,1,0,India,field
Central Broward Regional Park Stadium Turf Ground,2022-08-06,India,West Indies,1,6,India,191,5,132,10,0,1,West Indies,field
Central Broward Regional Park Stadium Turf Ground,2022-08-07,India,West Indies,1,6,India,188,7,100,10,0,1,India,bat
Sabina Park,2022-08-10,New Zealand,West Indies,5,6,New Zealand,185,5,172,7,0,1,West Indies,field
Sabina Park,2022-08-12,New Zealand,West Indies,5,6,New Zealand,215,5,125,9,0,1,New Zealand,bat
Sabina Park,2022-08-14,New Zealand,West Indies,5,6,West Indies,145,7,150,2,0,1,New Zealand,bat
Queens Sports Club,2022-07-11,Netherlands,Papua New Guinea,15,20,Netherlands,163,7,111,10,0,0,Netherlands,bat
Bulawayo Athletic Club,2022-07-12,Uganda,Papua New Guinea,22,20,Papua New Guinea,160,4,161,2,0,0,Papua New Guinea,field
Queens Sports Club,2022-07-14,Netherlands,Uganda,15,22,Netherlands,187,3,90,9,0,0,Uganda,field
Bulawayo Athletic Club,2022-07-15,United States of America,Netherlands,19,15,Netherlands,138,10,139,3,1,0,United States of America,bat
Bulawayo Athletic Club,2022-07-17,Papua New Guinea,United States of America,20,19,Papua New Guinea,97,10,92,10,0,1,United States of America,field
Bay Oval,2022-11-20,India,New Zealand,1,5,India,191,6,126,10,0,0,New Zealand,field
McLean Park,2022-11-22,New Zealand,India,5,1,,160,10,75,4,0,0,New Zealand,bat
Hagley Oval,2022-10-07,Pakistan,Bangladesh,7,9,Pakistan,167,5,146,8,0,0,Bangladesh,field
Hagley Oval,2022-10-08,New Zealand,Pakistan,5,7,Pakistan,147,8,149,4,0,0,New Zealand,bat
Hagley Oval,2022-10-09,Bangladesh,New Zealand,9,5,New Zealand,137,8,142,2,0,0,New Zealand,field
Hagley Oval,2022-10-11,Pakistan,New Zealand,7,5,New Zealand,130,7,131,1,0,0,Pakistan,bat
Hagley Oval,2022-10-12,New Zealand,Bangladesh,5,9,New Zealand,208,5,160,7,0,0,Bangladesh,field
Hagley Oval,2022-10-13,Bangladesh,Pakistan,9,7,Pakistan,173,6,177,3,0,0,Bangladesh,bat
Hagley Oval,2022-10-14,New Zealand,Pakistan,5,7,Pakistan,163,7,168,5,0,0,Pakistan,field
Eden Park,2023-04-02,Sri Lanka,New Zealand,8,5,,208,5,204,10,0,0,New Zealand,field
University Oval,2023-04-05,Sri Lanka,New Zealand,8,5,New Zealand,141,10,146,1,0,0,New Zealand,field
John Davies Oval,2023-04-08,Sri Lanka,New Zealand,8,5,New Zealand,182,6,183,6,0,0,New Zealand,field
National Stadium,2022-09-20,Pakistan,England,7,3,England,158,7,160,4,0,0,England,field
National Stadium,2022-09-22,England,Pakistan,3,7,Pakistan,199,5,203,0,0,0,England,bat
National Stadium,2022-09-23,England,Pakistan,3,7,England,221,3,158,8,0,0,Pakistan,field
National Stadium,2022-09-25,Pakistan,England,7,3,Pakistan,166,4,163,10,0,0,England,field
Gaddafi Stadium,2022-09-28,Pakistan,England,7,3,Pakistan,145,10,139,7,0,0,England,field
Gaddafi Stadium,2022-09-30,Pakistan,England,7,3,England,169,6,170,2,0,0,England,field
Gaddafi Stadium,2022-10-02,England,Pakistan,3,7,England,209,3,142,8,0,0,Pakistan,field
Dubai International Cricket Stadium,2022-08-27,Sri Lanka,Afghanistan,8,10,Afghanistan,105,10,106,2,0,0,Afghanistan,field
Dubai International Cricket Stadium,2022-08-28,Pakistan,India,7,1,India,147,10,148,5,0,0,India,field
Sharjah Cricket Stadium,2022-08-30,Bangladesh,Afghanistan,9,10,Afghanistan,127,7,131,3,0,0,Bangladesh,bat
Dubai International Cricket Stadium,2022-09-01,Bangladesh,Sri Lanka,9,8,Sri Lanka,183,7,184,8,0,0,Sri Lanka,field
Sharjah Cricket Stadium,2022-09-03,Afghanistan,Sri Lanka,10,8,Sri Lanka,175,6,179,6,0,0,Sri Lanka,field
Dubai International Cricket Stadium,2022-09-04,India,Pakistan,1,7,Pakistan,181,7,182,5,0,0,Pakistan,field
Dubai International Cricket Stadium,2022-09-06,India,Sri Lanka,1,8,Sri Lanka,173,8,174,4,0,0,Sri Lanka,field
Sharjah Cricket Stadium,2022-09-07,Afghanistan,Pakistan,10,7,Pakistan,129,6,131,9,0,0,Pakistan,field
Dubai International Cricket Stadium,2022-09-08,India,Afghanistan,1,10,India,212,2,111,8,0,0,Afghanistan,field
Dubai International Cricket Stadium,2022-09-09,Pakistan,Sri Lanka,7,8,Sri Lanka,121,10,124,5,0,0,Sri Lanka,field
Dubai International Cricket Stadium,2022-09-11,Sri Lanka,Pakistan,8,7,Sri Lanka,170,6,147,10,0,0,Pakistan,field
Punjab Cricket Association IS Bindra Stadium,2022-09-20,India,Australia,1,2,Australia,208,6,211,6,0,0,Australia,field
Vidarbha Cricket Association Stadium,2022-09-23,Australia,India,2,1,India,90,5,92,4,0,0,India,field
Rajiv Gandhi International Stadium,2022-09-25,Australia,India,2,1,India,186,7,187,4,0,0,India,field
Greenfield International Stadium,2022-09-28,South Africa,India,4,1,India,106,8,110,2,0,0,India,field
Barsapara Cricket Stadium,2022-10-02,India,South Africa,1,4,India,237,3,221,3,0,0,South Africa,field
Holkar Cricket Stadium,2022-10-04,South Africa,India,4,1,South Africa,227,3,178,10,0,0,India,field
Riverside Ground,2023-08-30,New Zealand,England,5,3,England,139,9,143,3,0,0,England,field
Old Trafford,2023-09-01,England,New Zealand,3,5,England,198,4,103,10,0,0,England,bat
Edgbaston,2023-09-03,New Zealand,England,5,3,New Zealand,202,5,128,10,0,0,New Zealand,bat
Trent Bridge,2023-09-05,England,New Zealand,3,5,New Zealand,175,8,179,4,0,0,England,bat
SuperSport Park,2023-03-25,South Africa,West Indies,4,6,West Indies,131,8,132,7,0,1,West Indies,field
SuperSport Park,2023-03-26,West Indies,South Africa,6,4,South Africa,258,5,259,4,1,0,South Africa,field
The Wanderers Stadium,2023-03-28,West Indies,South Africa,6,4,West Indies,220,8,213,6,1,0,South Africa,field
Gaddafi Stadium,2023-04-14,Pakistan,New Zealand,7,5,Pakistan,182,10,94,10,0,0,Pakistan,bat
Gaddafi Stadium,2023-04-15,Pakistan,New Zealand,7,5,Pakistan,192,4,154,7,0,0,Pakistan,bat
Gaddafi Stadium,2023-04-17,New Zealand,Pakistan,5,7,New Zealand,163,5,159,10,0,0,New Zealand,bat
Rawalpindi Cricket Stadium,2023-04-20,New Zealand,Pakistan,5,7,,164,5,0,0,0,0,Pakistan,field
Rawalpindi Cricket Stadium,2023-04-24,Pakistan,New Zealand,7,5,New Zealand,193,5,194,4,0,0,New Zealand,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-11-16,Canada,Oman,23,18,Canada,191,2,190,6,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-11-20,Oman,Canada,18,23,Canada,169,7,170,7,0,0,Canada,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-11-21,Oman,Canada,18,23,Canada,137,10,139,2,0,0,Canada,field
Wankhede Stadium,2023-01-03,India,Sri Lanka,1,8,India,162,5,160,10,0,0,Sri Lanka,field
