Venue,Date,Team_A,Team_B,Team_A_Ranking,Team_B_Ranking,Winner,Team_A_Score,Team_A_Wickets_Lost,Team_B_Score,Team_B_Wickets_Lost,Is_Home_Team_A,Is_Home_Team_B,Toss_Winner,Toss_Decision
Rajiv Gandhi International Cricket Stadium,2019-02-23,Afghanistan,Ireland,10,11,Afghanistan,278,3,194,6,0,0,Afghanistan,bat
Rajiv Gandhi International Cricket Stadium,2019-02-24,Afghanistan,Ireland,10,11,Afghanistan,210,7,178,8,0,0,Ireland,field
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019-02-24,India,Australia,1,2,Australia,126,7,127,7,0,0,Australia,field
M.Chinnaswamy Stadium,2019-02-27,India,Australia,1,2,Australia,190,4,194,3,0,0,Australia,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2019-02-13,Netherlands,Scotland,15,13,Netherlands,154,3,153,7,0,0,Netherlands,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2019-02-13,Oman,Ireland,18,11,Ireland,144,9,159,5,0,0,Oman,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2019-02-15,Oman,Netherlands,18,15,Netherlands,166,4,167,2,0,0,Netherlands,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2019-02-15,Ireland,Scotland,11,13,Scotland,180,7,181,4,0,0,Scotland,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2019-02-17,Ireland,Netherlands,11,15,Ireland,183,9,182,9,0,0,Ireland,field
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2019-02-17,Oman,Scotland,18,13,Scotland,111,10,115,3,0,0,Scotland,field
Adelaide Oval,2019-10-27,Australia,Sri Lanka,2,8,Australia,233,2,99,9,0,0,Sri Lanka,field
Brisbane Cricket Ground,2019-10-30,Australia,Sri Lanka,2,8,Australia,118,1,117,10,0,0,Sri Lanka,bat
Melbourne Cricket Ground,2019-11-01,Australia,Sri Lanka,2,8,Australia,145,3,142,6,0,0,Australia,field
Sydney Cricket Ground,2019-11-03,Australia,Pakistan,2,7,,41,0,107,5,0,0,Australia,field
Manuka Oval,2019-11-05,Australia,Pakistan,2,7,Australia,151,3,150,6,0,0,Pakistan,bat
Perth Stadium,2019-11-08,Australia,Pakistan,2,7,Australia,109,0,106,8,0,0,Australia,field
Kyambogo Cricket Oval,2019-05-21,Uganda,Namibia,22,14,Namibia,125,8,167,7,0,0,Namibia,bat
Buffalo Park,2020-02-12,South Africa,England,4,3,South Africa,177,8,176,9,0,0,England,field
Kingsmead,2020-02-14,South Africa,England,4,3,England,202,7,204,7,0,0,South Africa,field
SuperSport Park,2020-02-16,South Africa,England,4,3,England,222,6,226,5,0,0,South Africa,bat
The Wanderers Stadium,2020-02-21,South Africa,Australia,4,2,Australia,89,10,196,6,0,0,South Africa,field
St George's Park,2020-02-23,South Africa,Australia,4,2,South Africa,158,4,146,6,0,0,South Africa,bat
Newlands,2020-02-26,South Africa,Australia,4,2,Australia,96,10,193,5,0,0,South Africa,field
Punjab Cricket Association IS Bindra Stadium,2019-09-18,India,South Africa,1,4,India,151,3,149,5,0,0,India,field
M.Chinnaswamy Stadium,2019-09-22,India,South Africa,1,4,South Africa,134,9,140,1,0,0,India,bat
Arun Jaitley Stadium,2019-11-03,India,Bangladesh,1,9,Bangladesh,148,6,154,3,0,0,Bangladesh,field
Saurashtra Cricket Association Stadium,2019-11-07,India,Bangladesh,1,9,India,154,2,153,6,0,0,India,field
Vidarbha Cricket Association Stadium,2019-11-10,India,Bangladesh,1,9,India,174,5,144,10,0,0,Bangladesh,field
Rajiv Gandhi International Stadium,2019-12-06,India,West Indies,1,6,India,209,4,207,5,0,1,India,field
Greenfield International Stadium,2019-12-08,India,West Indies,1,6,West Indies,170,7,173,2,0,1,West Indies,field
Wankhede Stadium,2019-12-11,India,West Indies,1,6,India,240,3,173,8,0,1,West Indies,field
Hagley Oval,2019-11-01,New Zealand,England,5,3,England,153,5,154,3,0,0,England,field
Westpac Stadium,2019-11-03,New Zealand,England,5,3,New Zealand,176,8,155,10,0,0,England,field
Saxton Oval,2019-11-05,New Zealand,England,5,3,New Zealand,180,7,166,7,0,0,New Zealand,bat
McLean Park,2019-11-08,New Zealand,England,5,3,England,165,10,241,3,0,0,New Zealand,field
Eden Park,2019-11-10,New Zealand,England,5,3,,154,6,163,7,0,0,England,field
Eden Park,2020-01-24,New Zealand,India,5,1,India,203,5,204,4,0,0,India,field
Eden Park,2020-01-26,New Zealand,India,5,1,India,132,5,135,3,0,0,New Zealand,bat
Seddon Park,2020-01-29,New Zealand,India,5,1,,196,6,199,5,0,0,New Zealand,field
Westpac Stadium,2020-01-31,New Zealand,India,5,1,,178,8,181,9,0,0,New Zealand,field
Bay Oval,2020-02-02,New Zealand,India,5,1,India,156,9,163,4,0,0,India,bat
Central Broward Regional Park Stadium Turf Ground,2019-08-03,India,West Indies,1,6,India,98,6,95,9,0,1,India,field
Central Broward Regional Park Stadium Turf Ground,2019-08-04,India,West Indies,1,6,India,167,5,98,4,0,1,India,bat
Providence Stadium,2019-08-06,West Indies,India,6,1,India,146,6,150,3,1,0,India,field
Pallekele International Cricket Stadium,2019-09-01,Sri Lanka,New Zealand,8,5,New Zealand,174,4,175,5,0,0,Sri Lanka,bat
Pallekele International Cricket Stadium,2019-09-03,Sri Lanka,New Zealand,8,5,New Zealand,161,9,165,6,0,0,Sri Lanka,bat
Pallekele International Cricket Stadium,2019-09-06,Sri Lanka,New Zealand,8,5,Sri Lanka,125,8,88,10,0,0,Sri Lanka,bat
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-14,Afghanistan,West Indies,10,6,West Indies,134,9,164,5,0,1,Afghanistan,field
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-16,Afghanistan,West Indies,10,6,Afghanistan,147,7,106,8,0,1,Afghanistan,bat
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2019-11-17,Afghanistan,West Indies,10,6,Afghanistan,156,8,127,7,0,1,Afghanistan,bat
